Name,Adress,Type,latitude,longitude,pin code,rating
"CHAMUNDI HILLS mysuru, ","Chamundi Hill Rd, Chamundi Hill, Mysuru, Karnataka 570010, India",TOURIST ATTRACTION,12.2830198,76.6807331,570010,5
FOLKLORE MUSEUM,"Manasa Gangothiri, Mysuru, Karnataka 570006, India",MUSEUM,12.3134512,76.6226117,570006,4
CHIKKA GADIYARA,"1525, Vinoba Rd, Devaraja Mohalla, Shivarampet, Mysuru, Karnataka 570001",HISTORICAL LANDMARK,12.3095142,76.6524133,570001,5
CHAMUNDIBETTA SUNSET POINT,"Chamundi Hill Steps, Vijay Nagar, Mysuru, Karnataka 570010, India",TOURIST ATTRACTION,12.2769277,76.6684677,570010,5
A RAMANNA CIRCLE,"87, 2nd Main Rd, Medar Block, Yadavagiri, Mysuru, Karnataka 570020, India",HISTORICAL LANDMARK,12.323389,76.6417408,570020,4
SRI CHIDAMBARESHWARA SWAMY TEMPLE,"Chamundi Hill Rd, Mysuru, Karnataka 570010, India",HINDU TEMPLE,12.276711,76.6757995,570010,5
MASJID-E-TIPPU,"HUDCO Main Road, HUDCO 2nd Stage, Bannimantap A Layout, Bannimantap, Mysuru, Karnataka 570015, India",MOSQUE,12.3408595,76.6522283,570015,5
SRI SIDDAPPAJI TEMPLE ,"Dr. B.R Ambedkar Road, 8th Cross Rd, near Centre Sri Rammandir, Ashokapuram, Mysuru, Karnataka 570008",HINDU TEMPLE,12.286633,76.6409,570008,4
SRI PARAKALA MUTT,"408, Krishna Villas Rd, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570004, India",RELIGIOUS ORGANIZATION,12.3072888,76.6507785,570004,5
PALACE,"Harsha Road, Harshad Road, Near Opera Theater, Nazarbad, Lashkar Mohalla, Mandi Mohalla, Mysuru, Karnataka 570001, India",PARKING LOT FOR MOTORCYCLES,12.3089505,76.6560809,570001,5
SRI SUTTUR MATH,"Chamundi Foot Hills, Gundurao Nagar, Chamundipuram, Mysuru, Karnataka 570025, India",PLACE OF WORSHIP,12.2867623,76.6630596,570025,5
MYSURU TECHNICAL UNIVERSITY,"Krishnaraja Blvd Rd, K.G Koppal, Kajjihundi, Mysuru, Karnataka 570006, India",EDUCATIONAL INSTITUTION,12.304251,76.6396362,570006,3
WIND CHIMES,"680/1, Vasantha Mahal Rd, next to Hotel Ginger, Nazarbad, Mysuru, Karnataka 570010, India",WEDDING VENUE,12.3073289,76.6670675,570010,4
KOTE SRI ANJANEYA SWAMY TEMPLE,"Jaya Vijaya Gate, Chamaraja Cir, Agrahara, Chamrajpura, Mysuru, Karnataka 570004, India",HINDU TEMPLE,12.3073401,76.6555765,570004,5
ORIENTAL RESEARCH INSTITUTE,"Ramavilas Rd, K.G Koppal, Kajjihundi, Mysuru, Karnataka 570005, India",RESEARCH INSTITUTE,12.3062334,76.6400976,570005,4
FOUNTAIN CIRCLE,"Bangalore - Nilagiri, Rajendra Nagar Main Rd, N R Mohalla, Mysuru, Karnataka 570007, India",HISTORICAL LANDMARK,12.3251175,76.6585274,570007,5
