HOTEL PRATHAM RESIDENCY,"122/139, bb keri, bannimantap, mysuru, karnataka 570001, india",Hotel,12.3297811,76.6545844,570001,260,3.5
HOTEL SHRINGAR INTER CONTINENTAL,"shop no. 174, opp. ksrtc bus depot, nelson mandela road, bannimantap, mysuru, karnataka 570015, india",Lodging,12.331645,76.6485043,570015,259,3.3
HOTEL HEERA PALACE,"amaya bakery, hanumanth nagar, near bannimantap, c layout, mysuru, karnataka 570015, india",Hotel,12.3385639,76.6513725,570015,257,3.4
SPOT ON 65317 S.K.P LODGE,"2043, dhanavantri road, devaraja mohalla, shivarampet, mysuru, karnataka 570001, india",Hotel,12.3121109,76.6499143,570001,256,3.6
SHIVAGURU COMFORTS,"2905, ganapathi temple road, lasker mohalla behind suburban bus stand, halladakeri, mysuru, karnataka 570001, india",Hotel,12.3109014,76.6580247,570001,255,2.7
SHREE NANDA,"college, #199, banumaiah chowk, behind banumaiah, mysuru, karnataka 570024, india",Lodge,12.3048958,76.6509257,570024,269,NA
BHAGYALAKSHMI PALACE LODGE," lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Lodge,12.311638,76.6578173,570001,268,4
SPOT ON 49418 K F COMFORTS,"hudco colony, bannimantap a layout, bannimantap, mysuru, karnataka 570015, india",Hotel,12.3422297,76.6468945,570015,254,2.5
NANDA HOTEL SINCE:1982,"kshetraiah road, near banumaiah, devamba agrahara, chowk, mysuru, karnataka 570001, india",Restaurant,12.3049048,76.6509283,570001,266,4
"RAJ RESIDENCY,DELUXE,LODGE"," lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3145649,76.6568631,570001,265,4
HOTEL HOME COMFORT ( LODGE ),"lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3146678,76.6558683,570001,252,3.7
TREEBO TRIP GREENWOOD INN AND SUITES,"1/1, bangalore - mysore road, narashima raj mohalla, siddique nagar, bannimantap, mysuru, karnataka 570001, india",Hotel,12.346672,76.6572125,570001,263,3
SPOT ON 72749 BHAGYASHREE COMFORT,"3road main road, bamboo bazar, mysuru, karnataka 570021, india",Hotel,12.3266198,76.6430218,570021,251,3.7
ROYAL LODGE,"thyagaraja road, agrahara, rahmania mohalla, mysuru, karnataka 570004, india",Hotel,12.2966574,76.651782,570004,262,3.5
AMITH RESIDENCY,"2266/1 d-29, paduvaralli, vinayakanagara, mysuru, karnataka 570006, india",Hotel,12.3175809,76.6307382,570006,250,3.9
HOTEL NILGIRIS,"bangalore nilgiri road, lashkar mohalla doora, mysuru, karnataka 570010, india",Hotel,12.319793,76.6618721,570010,249,3.5
SRI SQUARE TRAVEL HOME,"570023, 646, adichunchanagiri road, aravinda nagar, vivekananda nagar, mysuru, karnataka 570008, india",Hotel,12.2779672,76.6294316,570008,220,4.9
OYO 16385 MB INTERNATIONAL,"3147 convent road, bangalore nilgiri road, near five light circle, mysuru, karnataka 570001, india",Hotel,12.3182654,76.6595832,570001,261,NA
THE PRESIDENCY HOTEL,"s no 3632/1,highway circle, bannimantap main road, new bannimantap extension, bannimantap, mysuru, karnataka 570015, india",Lodge,12.3313212,76.6471045,570015,219,3.6
HOTEL MYSORE GATEWAY," lashkar mohalla, mandi mohalla, mysuru, karnataka 570001, india",Hotel,12.3136179,76.6578986,570001,218,4
SEETHA,"paramahamsa road, 8/1, yadavagiri, extension, karnataka 570020, india",Homestay,12.3276084,76.6376048,570020,248,4
ADH SAK ROYAL RESIDENCY,"2225, sawday road, mandi mohalla, mysuru, karnataka 570021, india",Hotel,12.3198712,76.6523252,570021,217,3.8
THE GALLERY VIEW,"425 - 426, deshika road, opp. jaganmohan palace, subbarayanakere, chamrajpura, mysuru, karnataka 570024, india",Hotel,12.3069499,76.6512222,570024,247,3.2
OYO 9396 MAURYA RESIDENCY,"plot no. 2716, 2-3-7, sri harsha road, lashkar mohalla, mysuru, karnataka 570001, india",Hotel,12.3087869,76.6573789,570001,216,4
JAGHAMOHAN COMFORTS,"shop no.# 424, opposite jagmohan palace, devraj mohalla, derhika road, subbarayanakere, chamrajpura, mysuru, karnataka 570024, india",Hotel,12.3069234,76.6511442,570024,240,3.5
RAAMAGRAND,"#2927/7,irvin road,ksrtc suburban bus stand, mysuru, karnataka 570001, india",Hotel,12.3139971,76.6584709,570001,246,4
KAVERI HOTEL BED & BREAKFAST,"kaveri hotel, 369, cheluvamba, near shanthala theatre, agrahara, mysuru, karnataka 570024, india",Hotel,12.3037258,76.649108,570024,239,3.9
THE HILLSIDE HOTEL,"#21, d block , chamundi hill main road, jc nagar ,, 0821-2973132, mysuru, karnataka 570010, india",Extended stay hotel,12.2920327,76.6834527,570010,245,3.7
