The Myst Bar,"1, MG Road, Indiranagar Extension, JC Nagar, Mysuru, Karnataka 570010, India",Bar,12.2979832,76.6652353,NA,570010,295,4.1
Faasos Kuvempu Nagar,"1st Floor, Tripura Shree Building, opp. Allahabad Bank, N Block, Kuvempu Nagara, Mysuru, Karnataka 570023, India",Restaurant,12.2790522,76.6280908,+91 77000 20020,570023,294,3.8
Annapurna Restaurant,"9 & 10, Chamundi Hill Rd, KC Layout, Mysuru, Karnataka 570011, India",Vegetarian restaurant,12.2938805,76.6825833,+91 81974 60046,570011,293,3.3
Pinxx,"172, Nelson Mandela Rd, Bannimantap, Mysuru, Karnataka 570015, India",Restaurant,12.3314311,76.6479615,NA,570015,292,4
Mysuru Ruchi,"Ashoka Rd, Earangere, Lourdu Nagar, Mandi Mohalla, Mysuru, Karnataka 570001, India",Restaurant,12.3206743,76.6577642,+91 94487 73205,570001,290,5
Udupi Upahar,"No 953, Opp Zoo Garden Main Road, Tank Bund Rd, Ittige Gudu, Mysuru, Karnataka 570010, India",South Indian restaurant,12.3038165,76.6634437,+91 98440 06678,570010,287,3.5
Regenta Central Herald Mysore By Royal Orchid Hotels,"174, Nelson Mandela Rd, Bannimantap, Mysuru, Karnataka 570015, India",Restaurant,12.3313733,76.6479099,+91 91489 99012,570015,280,4.2
Depth N Green ,"228, 3, Gokulam Main Rd, Gokulam 2nd Stage, Gokulam, Mysuru, Karnataka 570002, India",Cafe,12.3307571,76.6286945,+91 83106 46443,570002,286,4.4
Di Lemon,"Doora, Mysuru, Karnataka 570001, India",Restaurant,12.3091489,76.6607641,+91 99807 46333,570001,279,3.6
Malabar kitchen restaurant,"231, Subhash Nagar, 1st Main Rd, near Milano Bakery, Subhasnagara, R.S.Naidu Nagar, Mysuru, Karnataka 570007, India",Restaurant,12.3375984,76.657646,NA,570007,285,5
Shammas Malabar Hotel,"ooty road .s g s post. bandipalya.mysore. amogha, India",Kerala restaurant,12.2647918,76.6570958,NA,NA,278,3.2
Raja Hans Bar & Restaurant,"No. 823, New Kantharaj Urs Rd, Kuvempunagara North, Saraswathipuram, Mysuru, Karnataka 570009, India",Restaurant,12.2964377,76.62816,NA,570009,277,3.6
Mysore Taj Restaurant,"Slight Circle, Bangalore Nilagiri Road, Doora, Mysuru, Karnataka 570001, India",Biryani restaurant,12.3170662,76.6595575,NA,570001,260,3.3
Behrouz Biryani Kuvempu Nagar,"1st Floor, Tripura Shree Building, opp. Allahabad Bank, N Block, Kuvempu Nagara, Mysuru, Karnataka 570023, India",Biryani restaurant,12.2790096,76.628095,+91 77000 50050,570023,284,4.8
Hotel Vaibhav Original,"1873, 9, Sayyaji Rao Rd, Bamboo Bazar, Mandi Mohalla, Mysuru, Karnataka 570001, India",Restaurant,12.3274155,76.6443332,NA,570001,276,3.5
Antique The Restaurant,"Hotel Complex, 2727, L40/3, Bangalore Nilgiris Road, Opposite, Doora, Mysuru, Karnataka 570001, India",Restaurant,12.321862,76.649935,NA,570001,259,2.5
Food Palace Restaurant,"Bus Stand, Bangalore Nilgiri Rd, near KSRTC, Lashkar Mohalla, Doora, Mysuru, Karnataka 570010, India",Fast food restaurant,12.3119428,76.658554,NA,570010,275,3.3
Shilpa Bar and Restaurants,"Siddhartha Nagar, Mysuru, Karnataka 570011, India",Restaurant,12.3057028,76.6923798,NA,570011,283,3.4
Hotel Sandesh The Prince,"No 3 Nethra Nivas, Nazarbad Main Rd, Mysuru, Karnataka 570010, India",Restaurant,12.3092408,76.6623608,+91 821 243 6777,570010,274,4
