FITNESS ZONE,"Vinaya Marga, Siddhartha Layout, Mysuru, Karnataka 570011, India",Gym,12.303715,76.6915043,NA,570011,4.2
VASTRA - THE YOGA STORE,"# 276, 7th Cross Rd, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Store,12.3336172,76.629267,+91 63614 22728,570002,3.9
DNA-YOGA,"944, 1st Cross Rd, Chamarajapura, Chamarajapuram Mohalla, Lakshmipuram, Mysuru, Karnataka 570004, India",Yoga retreat center,12.2982099,76.6417545,NA,570004,NA
MYTHRI YOGA SHALA,"285/1, Deewans Road, Subbarayanakere, Chamrajpura, Mysuru, Karnataka 570004, India",Yoga retreat center,12.3057849,76.6456197,NA,570004,5
SAYOGA,"2775, 4th Main Rd, Vani Vilas Mohalla, Mysuru, Karnataka 570002, India",Clothing store,12.3247905,76.6306121,+91 70223 32216,570002,4
HERITAGE FITNESS,"2935/15, Jhansi Rani Lakshmi Bai Rd, Chamundipuram, Bettadpura, Mysuru, Karnataka 570004, India",Gym,12.2872144,76.6500603,NA,570004,4.8
YOGA NILAYA,"3021/1, Gokulam Main Rd, Gokulam, Mysuru, Karnataka 570002, India",Function room facility,12.3305106,76.6311665,+91 94482 21159,570002,3.9
RED HOUSE YOGA CENTER,"165, 8th Cross Rd, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Homestay,12.3351234,76.6284793,+91 99164 71923,570002,4.7
YOGA DHAMA,"130, 1c, TK Layout, Mysuru, Karnataka 570009, India",yoga,12.2988152,76.619407,NA,570009,NA
MASSAGE & YOGA IN MYSORE,"3031, 1st floor, 12th Cross, 5th Main Rd, Gokulam 2nd Stage, Mysuru, Karnataka 570002, India",Yoga studio,12.3278032,76.6273375,NA,570002,NA
IMOSHA(THAI YOGA MASSAGE SCHOOL),"#14, 2nd floor, 2nd Cross Rd, 3rd Stage, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",School,12.3364669,76.6310681,+91 99860 84437,570002,5
INDUS VALLEY AYURVEDIC CENTRE,"Talavane Farm, Lalitadripura Rd, Chamundi Hill, Mysuru, Karnataka 570028, India",Yoga retreat center,12.2890385,76.6923932,+91 80952 94444,570028,4.4
REVIBE FITNESS STUDIO (EXCLUSIVELY FOR LADIES),"73, 8TH MAIN, 8TH CROSS, KALANDIKA, Kamakshi Hospital Rd, Saraswathipuram, Mysuru, Karnataka 570009, India",Fitness center,12.298841,76.630329,+91 80953 18223,570009,4.1
RASHINKAR'S,"Devaraja Mohalla, Shivarampet, Mysuru, Karnataka 570001, India",Clothing store,12.3100707,76.6536976,+91 821 426 0622,570001,4
NUCLEAR FITNESS,"1108, Udayaravi Rd, Block K, Kuvempu Nagar 2nd Stage, Kuvempu Nagara, Mysuru, Karnataka 570023, India",Fitness center,12.28596,76.6309765,+91 821 256 5786,570023,4.3
MYSORE YOGA CLUB ,"946, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Lodge,12.3364257,76.625528,NA,570002,4.7
KHUSHI YOGA FOUNDATION,"#581, Dewans Road, near double tank, Sunnadakeri, Lakshmipuram, Mysuru, Karnataka 570004, India",Yoga retreat center,12.2994932,76.6447933,+91 80505 66983,570004,4.9
SUDHA'S YOGA SHOPPE,"215, 9th Cross, 1st Main Rd, Gokulam 3rd Stage, Gokulam, Mysuru, Karnataka 570002, India",Yoga studio,12.332888,76.628413,+91 92435 12189,570002,3
INDEAYOGA,"No.130 1C, near All India Institute of Speech and Hearing, TK Layout, Mysuru, Karnataka 570009, India",Yoga retreat center,12.2992265,76.6168219,+91 98860 91291,570009,5
MANAP FITNESS STUDIO,"229, 1st Floor, 1st Main Rd, Gokulam 2nd Stage, Gokulam, Mysuru, Karnataka 570002, India",Fitness center,12.3306578,76.6288644,+91 99165 79974,570002,4.5
THE ART OF LIVING–MYSORE ASHRAM (AOL–MYSORE ASHRAM),"next to JSS Ayurvedic College, Chamundi Hill, Mysuru, Karnataka 570001, India",Meditation center,12.2870989,76.6952546,+91 98459 63387,570001,4.5
MYSORE SADHANA YOGA,"4th Cross Rd, Aishwaryanagar, Kuvempu Nagar 2nd Stage, Kuvempu Nagara, Mysuru, Karnataka 570008, India",Non-profit organization,12.2822349,76.6304165,+91 93421 54123,570008,3.5
